PM25h,HUM,TEMP,CO,CO2,PM10p,NO,NO2,PM10h,PM25p
19,44.2,16.7,0.8,494,130,0.054,0.041,67,46
20,43.8,16.5,0.7,465,127,0.038,0.043,63,44
24,44.7,16.7,0.8,485,114,0.048,0.043,66,42
19,43.4,16.7,0.9,473,126,0.065,0.04,65,44
20,43.4,16.9,0.9,488,124,0.057,0.042,71,41
27,41.9,17.1,0.8,501,115,0.055,0.044,69,53
23,42.1,16.8,0.7,474,113,0.046,0.05,71,55
18,41.6,17.1,0.8,503,114,0.065,0.044,67,50
19,41.6,17.1,0.8,495,131,0.069,0.044,60,50
26,40.7,17.1,0.7,489,132,0.06,0.043,67,47
29,41.6,17.3,0.8,503,128,0.064,0.044,71,45
35,38.8,17.3,0.7,486,120,0.046,0.043,63,49
42,40.3,17.2,0.7,495,119,0.051,0.045,58,49
40,39.3,17.4,0.7,498,115,0.054,0.044,64,48
37,39.7,17.3,0.7,490,119,0.058,0.046,58,55
40,40,17.5,0.8,503,113,0.048,0.042,60,51
45,39.1,17.6,0.8,507,112,0.034,0.041,60,53
41,36,17.5,0.7,472,125,0.028,0.044,60,42
43,36.4,17.3,0.6,472,125,0.026,0.043,60,43
49,37.7,17.6,0.8,511,127,0.045,0.042,60,51
51,37.8,17.9,0.9,510,114,0.068,0.047,61,54
39,35.8,17.8,0.9,494,120,0.058,0.047,69,48
48,36.5,17.5,0.8,471,131,0.052,0.047,63,40
57,37.4,17.5,0.8,484,137,0.041,0.045,49,42
57,38.6,17.5,0.9,487,143,0.049,0.043,51,36
54,38.3,17.6,1,500,142,0.065,0.044,57,39
56,37.9,17.5,0.8,478,143,0.052,0.048,66,36
59,39.1,17.7,0.9,513,148,0.061,0.045,60,39
53,38.1,17.7,1,496,149,0.054,0.044,63,33
55,39,17.4,0.8,477,147,0.044,0.046,64,39
58,38.4,17.3,0.8,474,151,0.047,0.047,60,37
51,39.5,17.3,0.8,484,148,0.049,0.047,69,45
55,38.9,17.6,0.9,493,151,0.052,0.044,72,41
62,38.7,17.3,0.7,471,145,0.039,0.046,62,42
51,40.3,16.8,0.7,461,163,0.021,0.044,68,49
38,40.1,17.3,0.8,498,162,0.041,0.049,79,53
42,39.9,17.5,0.8,489,157,0.046,0.05,75,60
47,39.7,17.4,0.8,473,153,0.029,0.048,61,61
50,40.9,17.2,0.7,470,162,0.027,0.052,63,51
41,39.7,17.3,0.7,466,153,0.017,0.046,66,55
41,41.4,17.1,0.7,470,154,0.017,0.047,65,65
40,39.6,17.1,0.6,467,147,0.015,0.044,64,62
42,40.8,17.2,0.7,480,153,0.017,0.049,71,54
46,39.8,17.4,0.6,469,151,0.011,0.047,62,49
35,41.1,17,0.6,461,147,0.01,0.047,60,49
36,39.4,17.2,0.7,473,141,0.018,0.045,67,52
35,40.6,16.7,0.6,444,128,0.004,0.042,62,56
36,40.6,16.7,0.6,454,116,0.013,0.045,64,42
35,41.2,16.4,0.6,444,109,0.009,0.044,67,38
35,41.9,16.9,0.7,478,117,0.02,0.046,70,38
29,39.6,16.9,0.6,455,114,0.009,0.036,63,43
36,41.6,16.7,0.6,469,116,0.013,0.044,60,44
37,39.2,16.8,0.6,452,106,0.008,0.04,54,32
34,39.2,17.1,0.7,476,108,0.02,0.046,57,33
30,39,17.1,0.7,469,107,0.018,0.043,59,49
27,39.1,17.1,0.6,464,110,0.014,0.045,53,44
32,39.8,17.5,0.7,493,112,0.025,0.043,51,43
36,37,17.4,0.6,469,122,0.02,0.044,50,40
38,38.5,17.3,0.7,469,125,0.016,0.043,52,31
33,37.1,17.6,0.7,488,131,0.009,0.041,52,38
29,37.2,17.3,0.7,466,137,0.015,0.046,55,42
30,37.2,17.2,0.8,473,131,0.024,0.046,63,35
30,38.7,17.4,0.7,493,123,0.026,0.046,66,37
24,38.2,17.6,0.7,493,129,0.021,0.044,63,38
27,37.3,17.6,0.8,500,134,0.035,0.047,66,44
28,38.7,17.3,0.8,489,127,0.032,0.046,63,45
28,37.8,17.3,0.8,496,127,0.034,0.049,65,37
37,38.1,17.7,0.9,515,135,0.032,0.047,69,35
39,36.3,17.6,0.8,499,123,0.024,0.043,77,33
33,37.9,17.7,0.7,515,126,0.023,0.044,73,43
35,36.3,17.6,0.9,507,136,0.03,0.046,73,52
42,35.3,17.6,0.8,508,141,0.027,0.047,65,45
39,36.5,17.7,0.8,527,140,0.039,0.047,58,48
45,34.1,17.5,0.9,503,158,0.029,0.046,58,60
48,35.4,17.6,0.9,532,162,0.055,0.051,63,52
47,33.5,17.7,0.8,524,161,0.04,0.049,65,49
49,33.6,17.5,0.9,515,164,0.048,0.049,61,57
52,33.5,17.7,1,539,176,0.035,0.049,73,59
55,33.1,17.7,1,537,175,0.056,0.052,71,60
54,32.5,17.5,1,531,170,0.054,0.053,71,65
55,33.1,17.3,0.9,505,198,0.036,0.052,68,69
45,34.2,17.3,1,546,191,0.044,0.048,67,73
55,31.5,17.2,0.9,510,168,0.063,0.049,69,59
61,33.2,16.9,0.9,502,167,0.059,0.052,70,67
67,33.2,17.3,0.9,528,164,0.053,0.05,72,69
66,32.2,17.5,1,541,147,0.07,0.051,63,62
62,31.9,17.3,0.9,514,153,0.034,0.029,61,66
71,32.8,17.2,0.9,530,152,0.053,0.05,70,73
66,31,17.2,0.9,526,152,0.056,0.05,72,64
65,32.4,16.6,0.9,480,149,0.04,0.052,62,64
65,33.9,17.1,1,524,142,0.061,0.051,56,68
63,34.8,16.9,0.9,502,145,0.044,0.049,56,58
57,37.1,16.7,0.8,488,135,0.046,0.048,63,57
72,38.4,16.8,0.9,493,132,0.049,0.046,61,53
57,40.3,16.7,0.8,495,139,0.039,0.045,56,68
32,40.9,16.8,0.9,508,132,0.044,0.045,54,62
35,40.8,17.1,0.8,516,140,0.051,0.045,57,54
39,42.7,16.7,0.9,489,143,0.05,0.046,62,56
34,44.7,16.2,0.9,480,140,0.055,0.048,56,59
40,43.1,16.9,1,526,144,0.073,0.046,51,55
37,43.9,16.8,0.9,500,141,0.055,0.045,51,56
34,45.9,16.3,0.9,494,132,0.038,0.041,57,58
31,44.3,16.8,1,510,136,0.056,0.04,57,52
38,45.5,16.5,1,486,136,0.045,0.045,60,56
38,45.4,16.6,1,490,135,0.051,0.044,50,57
34,45.3,16.7,0.9,495,136,0.053,0.044,53,49
35,47.5,16,0.8,464,146,0.037,0.046,66,42
41,46.1,16.5,0.9,506,165,0.059,0.045,87,44
34,47.6,16.1,0.9,478,169,0.05,0.045,87,47
31,46.3,16.6,1.1,508,164,0.075,0.042,85,49
37,47.5,16.3,1,496,163,0.077,0.046,89,43
31,46.8,16.7,1,513,163,0.085,0.046,88,43
34,46.1,16.6,1,501,173,0.077,0.045,89,43
34,46.8,16.5,1,509,175,0.077,0.044,90,38
37,47.7,16.2,0.9,487,178,0.055,0.044,95,39
29,46.9,16.6,1,508,177,0.065,0.04,92,41
29,46.5,16.6,1.1,504,169,0.026,0.015,90,46
31,48.9,16.1,1.1,505,169,0.082,0.045,89,45
31,47.1,16.6,1,516,157,0.083,0.042,88,57
28,48.4,16.2,1,503,148,0.084,0.047,80,66
31,47.7,16.3,1.1,507,139,0.081,0.044,80,62
30,48.4,16.2,1.2,524,140,0.107,0.048,83,61
29,48.8,16.1,0.9,506,134,0.094,0.049,87,64
23,47.9,16.1,1.1,500,132,0.111,0.052,84,59
24,48.2,16.4,1.2,546,120,0.138,0.049,80,60
27,47.6,16.2,1,495,128,0.092,0.045,73,65
27,48.5,16.2,1,507,125,0.091,0.044,73,63
21,48.6,15.9,0.9,497,119,0.086,0.044,71,66
24,49.4,15.8,0.9,492,127,0.078,0.046,75,55
22,48.3,16,0.9,502,125,0.094,0.049,74,60
24,47.8,15.9,0.9,488,110,0.079,0.045,73,63
35,49,15.8,0.9,497,97,0.079,0.045,79,62
34,46.9,16.3,0.8,489,95,0.069,0.043,82,67
33,47.2,15.9,0.8,484,94,0.054,0.043,78,64
36,50.8,14.6,0.7,455,96,0.031,0.04,74,64
34,52,14.3,0.8,467,97,0.051,0.045,77,65
29,49.8,15.3,0.9,492,102,0.073,0.044,87,61
32,47.7,15,0.9,467,96,0.056,0.044,80,64
29,50.8,14.5,0.7,473,96,0.045,0.038,69,66
34,49.6,14.5,0.7,459,101,0.039,0.043,77,65
34,49.6,14.9,0.8,478,90,0.055,0.042,82,69
30,48.8,14.9,0.8,465,99,0.064,0.044,83,64
33,50.3,14.6,0.7,467,124,0.052,0.044,74,49
36,50.3,13.8,0.7,453,128,0.04,0.043,61,37
31,51.5,13.9,0.5,445,124,0.023,0.041,65,34
28,49.4,14.6,0.7,463,127,0.04,0.042,64,34
27,51.1,14.2,0.7,460,127,0.041,0.041,58,37
29,51.3,13.8,0.6,453,134,0.028,0.041,58,36
32,53.9,13.1,0.6,450,127,0.023,0.041,52,33
34,52,13.8,0.7,462,122,0.039,0.039,57,27
34,52.9,13.6,0.7,461,124,0.007,0.007,64,31
30,50.1,14.2,0.6,456,119,0.009,0.018,60,25
30,52.1,13.4,0.6,448,123,0.018,0.04,51,27
27,54.2,13.1,0.6,455,113,0.025,0.04,49,33
24,50.2,14,0.7,463,104,0.038,0.038,54,26
26,50.8,13.4,0.6,448,100,0.023,0.039,71,30
29,52.1,12.9,0.6,447,103,0.018,0.039,60,26
27,52.7,12.6,0.6,445,102,0.016,0.037,57,24
23,52.4,12.5,0.5,443,99,0.011,0.038,59,24
24,53.1,12.4,0.5,446,81,0.014,0.037,57,25
23,52,12.3,0.5,442,82,0.011,0.037,49,29
14,51.4,12.3,0.5,439,80,0.007,0.036,56,23
16,51.5,12.2,0.5,440,64,0.01,0.035,55,23
19,51.4,12.1,0.4,439,63,0.008,0.036,51,24
18,51.7,12,0.4,440,60,0.007,0.036,56,20
29,52.7,12,0.5,445,55,0.01,0.037,58,19
27,52.9,11.9,0.5,445,45,0.015,0.037,56,18
21,53.1,11.8,0.4,443,48,0.012,0.035,34,11
25,54.3,11.2,0.4,444,49,0.002,0.012,47,4
29,53.7,11.2,0.4,442,57,0.006,0.033,55,1
28,53.9,11.2,0.4,440,77,0.003,0.031,54,12
29,56,11.1,0.4,448,86,0.002,0.005,49,14
26,56.5,11,0.4,449,80,0.001,0.002,58,16
25,55.7,11,0.4,447,79,0.001,0.004,52,20
26,55.3,11,0.4,444,93,0.008,0.032,50,14
26,56.6,10.9,0.4,448,83,0.014,0.033,52,23
24,56.5,10.9,0.4,450,85,0.016,0.033,56,20
31,54.5,10.9,0.4,444,108,0.011,0.032,52,17
32,53,10.8,0.4,441,113,0.008,0.031,53,22
41,52.5,10.7,0.3,438,112,0.005,0.03,46,21
41,52.1,10.8,0.3,438,106,0.004,0.03,46,29
42,51.6,10.8,0.3,438,103,0.006,0.031,42,35
40,51.2,10.8,0.3,437,80,0.007,0.03,46,31
37,50.8,10.8,0.2,435,70,0.003,0.028,48,24
39,50.5,10.9,0.3,437,71,0.002,0.029,43,25
42,50.9,11,0.3,440,64,0.01,0.031,49,24
43,51.3,10.9,0.3,441,65,0.012,0.029,48,35
39,50.9,11,0.3,444,65,0.014,0.033,49,32
38,50.2,11.1,0.3,448,60,0.014,0.033,44,26
40,50.3,11.1,0.3,445,59,0.013,0.032,45,29
46,50.3,11.2,0.3,446,62,0.015,0.032,35,25
40,50,11.2,0.3,449,60,0.015,0.032,31,23
41,49.8,11.2,0.3,449,51,0.011,0.032,30,14
36,49.6,11.3,0.3,448,47,0.009,0.031,30,15
34,50,11.1,0.4,453,47,0.027,0.034,23,23
41,50.3,11,0.4,448,48,0.026,0.032,20,28
42,51.2,10.8,0.4,452,49,0.016,0.023,22,25
38,51.4,10.9,0.5,464,62,0.039,0.017,18,18
38,51.4,11.3,0.6,469,49,0.083,0.038,26,11
40,44.1,12.5,0.6,466,53,0.064,0.032,21,12
40,47.1,11.9,0.6,468,52,0.061,0.035,23,24
41,43.9,13.4,0.7,481,51,0.088,0.037,28,32
48,40.3,13.3,0.6,472,54,0.073,0.039,48,38
49,43.8,13.6,0.6,486,53,0.094,0.038,58,41
56,35.7,14.7,0.5,481,75,0.077,0.036,69,43
57,34.8,14.8,0.6,483,89,0.073,0.035,77,53
64,35.3,15.1,0.6,490,94,0.087,0.036,84,45
63,34.5,15.2,0.6,485,100,0.079,0.038,91,46
61,33.4,15.3,0.6,487,105,0.073,0.04,86,48
59,34.9,15.4,0.7,498,104,0.082,0.039,102,55
64,32.5,14.8,0.6,486,113,0.069,0.036,96,60
66,37.1,14.3,0.7,498,126,0.094,0.04,103,67
69,35.7,15,0.7,505,131,0.099,0.037,109,62
69,34.7,15.6,0.8,512,121,0.099,0.036,109,52
54,35,15.6,0.9,509,125,0.104,0.037,102,59
56,33.8,15.7,0.8,519,135,0.1,0.038,103,62
51,33.7,15.2,0.8,512,138,0.094,0.039,106,71
55,34.3,15.2,0.8,515,137,0.085,0.037,106,64
57,34.8,15,0.8,519,142,0.083,0.038,110,65
55,33.9,15,0.8,513,145,0.088,0.038,108,64
58,34.1,15.2,0.8,520,157,0.082,0.037,116,70
67,32.8,15.4,0.8,525,169,0.082,0.037,106,69
61,32.7,15.7,0.9,550,176,0.092,0.037,116,75
56,31.1,15.4,0.8,521,174,0.083,0.04,119,72
62,33.4,15.4,0.8,552,184,0.075,0.036,113,81
58,32.3,15.6,0.9,545,215,0.073,0.038,120,74
66,32.7,15.8,0.8,564,223,0.081,0.037,125,63
69,31.6,15.8,0.8,566,225,0.089,0.037,128,68
75,32.9,15.9,1,591,220,0.089,0.041,125,66
72,32.3,16.1,0.9,606,236,0.088,0.04,122,65
72,32.4,15.7,1,575,244,0.077,0.042,125,72
74,31.3,16.1,1,614,248,0.096,0.043,131,78
75,33.2,16.1,1,672,245,0.104,0.042,126,72
77,31.7,16.2,1.1,626,242,0.103,0.044,127,81
80,32.4,16.3,1.2,649,243,0.104,0.041,134,74
84,29.9,16.3,1.2,599,242,0.103,0.041,138,71
83,30.3,16.1,1.2,598,239,0.096,0.042,144,70
88,30.1,16.2,1.1,601,240,0.096,0.042,140,73
89,30.9,16.3,1.2,611,243,0.093,0.039,143,72
78,30.6,16.8,1.2,647,257,0.09,0.039,135,68
75,29.5,16.8,1.2,618,265,0.081,0.041,137,70
73,28.7,16.8,1.2,609,251,0.084,0.041,133,71
69,28.6,16.6,1.2,594,244,0.115,0.046,139,74
76,28.1,16.7,1.4,578,245,0.116,0.045,139,76
81,27.8,16.5,1.2,550,244,0.104,0.045,140,74
72,27.6,16.5,1.2,562,238,0.097,0.043,139,74
76,28.3,16.4,1.2,547,245,0.101,0.044,131,76
81,28,16.3,1.3,554,255,0.117,0.047,129,83
74,27.7,16.5,1.4,540,247,0.107,0.046,131,73
69,29.1,16.4,1.4,534,230,0.117,0.048,129,75
65,30.4,16.7,1.5,562,224,0.137,0.041,127,83
75,31,17.1,1.6,576,207,0.15,0.048,130,84
79,30.4,16.9,1.6,533,208,0.141,0.049,133,83
78,31.2,16.9,1.6,562,216,0.139,0.048,139,87
86,31,16.7,1.5,521,224,0.109,0.048,128,83
77,30.7,16.7,1.4,526,224,0.103,0.045,126,73
71,30.5,17.1,1.4,557,222,0.11,0.047,118,77
73,30,16.9,1.2,515,213,0.075,0.049,127,75
68,30.2,17.1,1.3,541,208,0.095,0.048,122,77
60,28.9,17.3,1.4,535,202,0.087,0.04,117,73
67,29.7,17.1,1.4,525,213,0.09,0.043,117,73
71,28.7,17.4,1.5,538,213,0.101,0.046,120,72
71,27.9,17.2,1.3,504,214,0.098,0.053,124,66
72,28.3,17.3,1.3,519,208,0.088,0.05,121,63
63,28.5,17.3,1.3,515,204,0.088,0.05,114,62
66,27.3,17.2,1.3,510,208,0.091,0.052,112,65
65,28.5,17.4,1.4,528,206,0.095,0.047,112,59
69,28.9,17.6,1.4,543,206,0.088,0.045,114,67
69,27.6,17.7,1.2,535,211,0.076,0.046,130,72
78,27.9,17.8,1.4,548,224,0.08,0.044,124,65
82,22.8,17.7,1.2,497,218,0.058,0.049,131,62
86,23.8,17.7,1.2,501,205,0.065,0.05,135,65
86,22.7,17.6,1.1,491,201,0.062,0.05,130,73
80,22.3,17.7,1.3,501,192,0.079,0.052,118,77
68,22,17.7,1.3,500,182,0.071,0.05,102,80
57,22.8,17.7,1.3,492,187,0.06,0.048,92,80
62,21.2,17.5,0.9,476,183,0.037,0.048,98,78
61,20.2,17.5,1,478,174,0.039,0.048,100,76
69,21.3,17.8,1.1,493,171,0.06,0.05,101,76
67,20.2,17.9,1.1,479,167,0.085,0.053,90,70
68,22,18.2,1.2,516,161,0.072,0.046,77,69
56,18.7,18.1,1,472,159,0.034,0.045,84,74
54,20.8,18.1,1,488,163,0.044,0.044,76,74
59,18.7,17.9,0.8,475,171,0.028,0.043,70,66
60,18.2,17.8,0.9,466,164,0.022,0.043,68,67
57,20,17.9,1.1,475,182,0.054,0.047,73,64
66,19.7,18.2,0.9,492,193,0.046,0.046,78,62
70,18.9,18.3,0.9,489,195,0.035,0.045,91,62
68,18.6,18.3,0.9,476,194,0.026,0.044,81,62
74,19,18.4,0.9,493,189,0.027,0.042,82,60
67,15.9,18.1,0.8,449,177,0.015,0.041,74,58
59,17.7,18,0.9,469,172,0.02,0.044,77,59
53,18,18.1,1,469,167,0.037,0.046,80,56
65,17.3,18.1,0.9,470,162,0.018,0.042,72,56
65,19.2,18.1,0.9,483,160,0.031,0.046,74,54
63,17.5,18.2,0.9,474,156,0.026,0.045,71,59
51,20,18.2,1,475,155,0.031,0.05,75,50
54,21.1,18.1,0.9,464,142,0.02,0.051,74,42
57,21.4,18.2,1,475,129,0.025,0.051,78,36
54,21.1,18.3,1.1,480,127,0.026,0.05,77,37
49,21.6,18.2,1,469,120,0.03,0.047,78,42
50,21.5,18.4,1,486,127,0.046,0.052,71,35
46,21.1,18.4,1,484,126,0.021,0.05,81,38
57,19.6,18.4,1.1,478,127,0.027,0.052,82,44
56,20.8,18.3,1,468,128,0.032,0.058,81,49
51,21.3,18.5,1,492,120,0.03,0.056,79,40
53,21,18.4,1.1,472,122,0.015,0.05,78,39
47,21,18.4,1,478,126,0.017,0.047,84,39
62,21.9,18.4,1,487,134,0.01,0.044,84,43
60,21.2,18.4,1,475,142,0.012,0.051,88,56
61,21.5,18.5,1,486,153,0.019,0.055,74,57
69,21.6,18.4,1,459,156,0.005,0.047,66,51
72,21,18.4,1,466,167,0.012,0.053,62,48
67,22.2,18.6,1.1,477,162,0.023,0.055,64,51
69,21.8,18.7,1.2,495,162,0.035,0.058,66,54
74,21.8,18.8,1.2,502,165,0.039,0.062,73,55
75,21.2,18.9,1.2,501,169,0.062,0.065,61,52
66,21.7,18.9,1.2,484,173,0.045,0.062,62,56
67,21.8,19,1.1,515,173,0.025,0.057,62,56
64,20.6,18.9,1.1,475,165,0.013,0.054,69,59
63,20.9,18.5,1,461,169,0.008,0.049,65,63
66,21.1,18.5,1,468,156,0.005,0.023,63,64
79,22.4,18.7,1.3,508,150,0.059,0.066,80,70
75,22.5,18.7,1.1,487,146,0.038,0.054,100,77
78,22.6,18.7,1.1,498,147,0.033,0.052,104,75
85,24.2,18.8,1.2,542,153,0.035,0.055,107,78
83,24.6,19,1.2,564,169,0.043,0.053,102,79
80,21.7,18.8,1,501,175,0.018,0.033,103,74
79,25,18.7,1.2,527,176,0.002,0.002,116,67
86,24.1,18.8,1.2,527,185,0.011,0.012,125,75
88,22.3,18.8,1.1,529,191,0.029,0.052,135,83
93,21,18.5,1,470,200,0.009,0.04,125,82
86,21.8,18.3,1,463,182,0.005,0.038,126,81
93,22.5,18.6,1.2,508,182,0.029,0.053,130,76
81,22.3,18.4,1.1,456,187,0.01,0.049,121,85
87,22.9,18.5,1.2,490,202,0.024,0.055,105,84
89,23.2,18.6,1.1,514,195,0.018,0.053,111,85
80,23,18.5,1.1,481,195,0.017,0.052,105,85
79,23.9,18.8,1.2,515,188,0.057,0.059,109,80
78,23.7,19.2,1.3,552,173,0.039,0.057,102,80
75,22.3,19.1,1.2,529,170,0.035,0.058,101,87
84,22.9,19,1.2,502,171,0.026,0.057,94,72
75,23.9,19.2,1.3,548,159,0.031,0.047,87,73
75,22.9,19,1.4,528,161,0.034,0.05,84,73
82,24.1,19,1.3,534,170,0.06,0.06,92,68
70,23.8,18.9,1.4,524,188,0.062,0.058,82,72
53,24,18.9,1.4,519,196,0.011,0.017,84,60
34,24.7,18.8,1.5,543,189,0.002,0.002,89,62
35,23.7,18.6,1.3,507,199,0.016,0.017,85,66
34,23.4,18.3,1.2,489,187,0.023,0.052,85,67
37,25.1,18.4,1.3,540,185,0.04,0.055,84,67
39,25.4,18.6,1.3,548,187,0.043,0.041,88,66
44,25.6,18.7,1.4,558,204,0.06,0.058,87,65
36,24.9,18.6,1.3,545,191,0.045,0.056,91,80
41,24.8,18.3,1.1,509,196,0.024,0.053,95,75
33,26.8,18.5,1.4,565,199,0.046,0.054,98,69
37,25,18.6,1.5,559,202,0.062,0.06,97,71
41,26.3,18.4,1.6,572,197,0.069,0.058,104,72
57,26,18.4,1.4,560,196,0.063,0.059,104,76
67,26.6,18.1,1.3,548,196,0.055,0.061,97,70
62,25.9,18.3,1.5,547,196,0.07,0.059,95,71
69,26.1,18.2,1.3,555,203,0.056,0.049,99,69
68,24.8,17.6,1.2,493,204,0.001,0.002,94,68
57,26.5,17.7,1.4,570,203,0.023,0.022,91,73
59,25.9,18.1,1.4,557,188,0.091,0.059,96,71
58,24.4,17.9,1.3,533,203,0.074,0.053,92,63
58,25.9,17.7,1.2,547,204,0.001,0.001,91,70
64,24.8,17.8,1.3,532,193,0.044,0.045,88,70
61,26,17,1.3,491,187,0.066,0.059,84,65
61,26.1,17.5,1.4,536,189,0.064,0.042,88,67
52,26.7,16.9,1.1,491,176,0.045,0.057,94,61
48,27.5,17.2,1.3,542,172,0.084,0.058,104,61
51,27.1,17.2,1.3,507,166,0.065,0.057,104,61
46,28,16.7,1.2,481,171,0.046,0.058,105,61
44,28.2,17.1,1.4,526,184,0.072,0.056,107,58
49,28,17.2,1.3,515,189,0.07,0.059,109,61
47,27.3,16.9,1.2,491,197,0.058,0.059,97,59
50,28.3,16.8,1.3,507,183,0.063,0.059,99,65
51,28.1,16.8,1.2,504,180,0.078,0.06,96,57
49,28.1,16.5,1.2,485,177,0.057,0.06,97,60
44,29,16.8,1.3,517,180,0.07,0.056,90,64
45,29.1,16.7,1.2,507,186,0.055,0.056,86,54
54,27.8,16.9,1.3,506,192,0.063,0.059,80,67
60,28.5,16.4,1.3,491,189,0.062,0.059,77,71
58,29.2,16.1,1.2,493,190,0.044,0.057,77,64
62,30,16,1.1,492,189,0.035,0.055,71,62
63,29.4,16.4,1.2,511,180,0.054,0.058,77,63
64,29.5,16.5,1.2,504,180,0.057,0.058,76,60
63,29.5,16.9,1.3,539,175,0.083,0.058,86,68
67,30,16.5,1.2,511,183,0.067,0.061,83,66
68,30.7,16.3,1.3,512,182,0.058,0.06,81,70
65,30.1,16.4,1.3,507,187,0.066,0.063,78,66
64,30.6,16.3,1.2,501,191,0.064,0.062,90,63
60,31.1,16.2,1.3,503,195,0.087,0.062,87,70
63,30.7,16.7,1.5,529,201,0.134,0.064,90,58
65,30.2,16.6,1.3,506,201,0.1,0.063,84,62
68,31.5,16.4,1.2,523,196,0.068,0.061,88,62
65,31.5,16.1,1.3,504,202,0.082,0.064,88,63
61,31.8,16.4,1.5,536,205,0.133,0.069,82,65
66,31.3,16.5,1.3,510,209,0.077,0.065,83,66
66,31.7,16.2,1.3,505,198,0.087,0.065,79,65
64,33.2,15.4,1.2,487,196,0.064,0.065,87,61
59,32,16,1.3,510,200,0.085,0.067,91,60
68,32.3,15.8,1.3,498,202,0.076,0.068,93,62
73,31.5,16,1.2,488,197,0.043,0.045,81,68
71,32.1,15.6,1,477,183,0.03,0.06,85,66
67,32.4,15.4,1.2,481,172,0.077,0.073,90,73
67,31.3,16,1.2,501,174,0.065,0.063,102,61
68,30.9,15.4,1,465,176,0.021,0.068,101,73
66,33.1,15.3,1.2,499,162,0.033,0.061,101,74
65,32.7,14.9,0.9,463,161,0.017,0.059,102,80
67,34,15,1,498,171,0.024,0.056,100,79
70,32.9,14.8,1,475,183,0.019,0.062,102,79
69,33.5,15,1.1,497,190,0.04,0.064,100,77
70,32.8,14.8,1,471,192,0.018,0.065,100,76
67,34.8,14.8,1.1,490,196,0.031,0.063,104,85
66,33.2,14.7,0.9,464,199,0.025,0.063,112,83
65,36.4,13.8,0.9,458,195,0.009,0.054,110,88
60,33.8,13.5,1,463,185,0.027,0.059,106,81
51,35.5,14.3,1,466,175,0.03,0.066,100,84
48,33.8,14.5,1.1,468,171,0.033,0.063,101,76
54,36.7,13.6,1,456,180,0.006,0.058,105,74
54,34.7,14.6,1.1,484,166,0.029,0.06,105,72
48,35.3,14.2,1,461,154,0.01,0.064,107,66
44,35.5,14.3,1.1,475,139,0.028,0.062,109,67
43,37,13.9,1,464,137,0.011,0.063,106,70
45,34.3,14.6,1.1,477,131,0.028,0.061,102,65
49,35.8,13.8,1,464,126,0.007,0.062,104,63
47,37.3,13.6,1,471,129,0.007,0.058,102,65
50,34.6,14.6,1.1,493,127,0.031,0.058,98,55
52,34.7,14.1,1,470,139,0.01,0.064,96,61
63,35.6,13.4,1.1,467,150,0.012,0.063,89,60
59,35.5,13.2,1,463,152,0.006,0.06,87,62
60,36.1,13.3,1,465,144,0.004,0.06,84,65
56,35.8,13.3,1,470,160,0.011,0.06,85,65
57,35.1,13.2,0.8,460,167,0.002,0.056,82,66
56,36.3,13.1,0.9,463,183,0.001,0.045,83,67
62,37.2,13,0.9,466,171,0.001,0.059,78,59
65,37.4,13.1,0.9,468,177,0.004,0.062,76,62
59,37.7,13.1,1,471,173,0.007,0.063,80,60
57,37.4,13,0.9,467,167,0.003,0.061,76,59
55,37.4,13.1,0.9,466,177,0.001,0.06,74,66
56,38.7,13,0.9,470,170,0.005,0.062,63,63
54,40.2,12.9,1,473,164,0.017,0.064,56,65
53,37.7,12.8,0.9,455,165,0.005,0.056,57,65
52,37.5,12.7,0.8,449,155,0.002,0.048,59,63
62,37,12.7,0.8,443,138,0.002,0.044,55,61
58,37.1,12.7,0.7,440,136,0.002,0.031,55,63
58,37,12.7,0.7,440,124,0.002,0.002,53,60
54,37.3,12.6,0.7,439,139,0.001,0.002,54,61
51,37.3,12.6,0.7,438,136,0.002,0.032,59,60
51,37.5,12.6,0.7,439,149,0.001,0.033,48,62
53,37.2,12.8,0.8,443,157,0.001,0.041,53,58
62,37.3,12.9,0.9,446,136,0.002,0.051,54,47
58,37.7,12.8,0.8,445,139,0.001,0.047,58,44
53,38.2,12.7,0.8,444,130,0.001,0.044,70,45
62,38.1,12.8,0.7,441,113,0.001,0.02,66,40
55,38.6,12.8,0.8,444,118,0.002,0.002,62,36
47,39.6,12.7,0.8,448,120,0.002,0.002,69,33
57,39.8,12.8,0.8,452,106,0.001,0.001,69,36
58,39.6,12.8,0.8,449,113,0.001,0.001,69,31
53,40.1,12.8,0.9,453,93,0.002,0.002,70,36
52,40.1,12.8,0.9,455,85,0.001,0.001,66,33
55,40.1,12.8,0.9,455,71,0.001,0.001,66,28
54,40.4,12.8,0.9,457,64,0.002,0.039,66,30
49,40.8,12.7,0.9,461,76,0.006,0.056,70,27
63,40.9,12.6,1,467,74,0.015,0.058,56,16
69,40.4,12.7,1,464,85,0.011,0.055,49,16
67,39.9,12.6,0.9,459,100,0.003,0.054,52,19
69,39.4,12.6,0.9,456,104,0.002,0.05,54,23
74,38.7,12.6,0.9,458,112,0.001,0.05,50,28
68,37.1,12.6,1,465,124,0.008,0.053,47,19
63,36.1,12.6,1,472,116,0.018,0.053,42,22
67,35.9,12.7,1,479,124,0.025,0.05,39,21
64,35.8,12.6,1,475,127,0.018,0.049,36,21
