PM25h,HUM,TEMP,CO,CO2,PM10p,NO,NO2,PM10h,PM25p
120,28.7,13.5,1.9,556,215,0.038,0.048,131,95
125,27.1,13.6,1.8,548,221,0.054,0.05,127,103
119,27.1,13.3,1.7,507,227,0.048,0.054,126,102
120,26.8,13.4,1.9,530,235,0.06,0.057,127,104
126,27.4,13,1.7,505,231,0.044,0.052,127,107
112,28.9,13,1.8,516,241,0.051,0.051,123,102
107,29,13.5,1.9,554,235,0.057,0.051,119,103
117,28.7,13.4,1.8,533,233,0.035,0.049,124,107
121,28.8,13.3,1.7,507,224,0.023,0.044,120,109
122,30.1,12.8,1.8,500,223,0.023,0.044,127,112
124,30.9,13.2,1.8,535,227,0.043,0.047,122,115
120,29.6,13.5,2,544,219,0.048,0.045,125,112
122,29.7,12.3,1.6,464,221,0.017,0.043,129,107
119,31.3,12.7,1.7,519,226,0.044,0.049,129,80
106,30.5,12.8,1.7,503,228,0.03,0.046,132,69
97,29.9,12.8,1.7,494,232,0.031,0.047,137,69
96,29.9,12.9,1.8,493,237,0.043,0.051,136,70
101,29.5,13,1.7,500,230,0.041,0.05,128,73
106,29.8,12.4,1.7,478,230,0.027,0.05,136,75
99,29.4,12,1.6,460,230,0.015,0.04,128,69
99,29.2,12.1,1.7,474,241,0.028,0.047,127,66
99,30.5,11.8,1.7,470,239,0.016,0.047,127,73
87,30,12.4,1.7,493,235,0.04,0.048,130,65
96,29.8,11.6,1.6,457,246,0.019,0.044,128,68
99,29.3,11.9,1.6,475,238,0.028,0.047,124,69
96,28.9,11.9,1.7,470,235,0.016,0.042,124,81
90,28.5,11.4,1.5,456,234,0.01,0.042,124,94
88,29.2,11.3,1.7,468,233,0.025,0.045,122,90
99,29.4,11.6,1.5,478,232,0.024,0.047,123,93
98,29.4,11.7,1.5,469,221,0.02,0.049,134,90
91,27.5,11.9,1.6,473,227,0.021,0.046,125,90
96,28,11.5,1.5,466,227,0.019,0.044,123,93
92,28.1,11.3,1.4,461,223,0.009,0.038,126,96
95,29.5,11.3,1.6,482,219,0.015,0.043,123,85
104,27.8,11.4,1.5,465,227,0.015,0.045,121,94
94,29.1,11,1.5,461,218,0.015,0.044,114,91
95,27.7,11.4,1.4,467,218,0.016,0.039,118,87
94,27.9,11,1.4,463,195,0.016,0.044,121,91
87,29.9,10.7,1.6,469,184,0.025,0.048,105,84
89,27.5,11.5,1.5,487,185,0.034,0.049,105,82
88,29.5,11.2,1.5,474,183,0.029,0.049,100,82
83,27.6,11.1,1.4,458,198,0.018,0.045,97,84
81,29.5,11.4,1.5,493,192,0.043,0.048,100,84
74,27.9,11.3,1.5,469,187,0.019,0.047,104,88
84,28.2,11.4,1.5,476,186,0.029,0.047,96,86
85,28.9,10.5,1.3,450,186,0.006,0.038,97,84
80,28.6,11.1,1.5,486,179,0.03,0.047,105,81
83,29.1,10.3,1.4,451,177,0.01,0.038,104,86
83,28.5,10.3,1.4,457,178,0.022,0.044,103,89
89,28.9,10.8,1.5,473,186,0.035,0.052,95,86
93,28.5,10.9,1.4,475,191,0.043,0.051,107,84
104,28.2,10.3,1.4,447,189,0.009,0.043,95,84
96,29.8,10,1.3,450,185,0.006,0.044,97,79
102,28.9,10,1.3,460,173,0.011,0.042,95,79
107,30.3,9.6,1.4,460,170,0.01,0.041,92,79
109,31.4,8.8,1.4,446,174,0.017,0.049,90,75
102,30.2,9.5,1.4,461,178,0.014,0.043,94,78
98,31.4,9.4,1.4,462,181,0.012,0.041,96,84
105,30.4,9.1,1.3,450,184,0.005,0.04,96,81
102,31.1,9.5,1.3,463,185,0.009,0.039,94,80
105,30.3,9.2,1.3,451,186,0.008,0.045,97,90
95,32.6,8.9,1.3,457,197,0.008,0.035,90,100
87,30.1,8.8,1.4,452,203,0.015,0.049,76,102
66,32.7,9.1,1.3,454,210,0.004,0.042,87,105
62,31,9.7,1.3,452,214,0.013,0.035,82,105
57,33.7,8.9,1.3,450,229,0.005,0.033,81,107
56,31.9,9.3,1.3,448,231,0.005,0.036,85,110
56,34.6,8.4,1.2,441,215,0.001,0.031,88,97
57,33.6,8.6,1.3,446,204,0.005,0.032,84,99
59,35.8,8.1,1.3,444,199,0.002,0.036,78,102
54,33.3,9.3,1.3,456,198,0.005,0.032,74,101
59,33.5,8.6,1.3,441,194,0.002,0.034,77,91
53,36.2,8,1.2,442,199,0.001,0.033,76,85
61,33.5,9.2,1.3,456,214,0.005,0.036,86,99
77,34.2,8.4,1.2,442,219,0.002,0.031,89,98
89,35.9,7.8,1.2,441,210,0.002,0.025,86,96
94,36.7,7.5,1.2,441,200,0.002,0.029,87,100
100,37.1,7.4,1.2,441,189,0.002,0.028,84,102
101,37.2,7.3,1.2,440,179,0.002,0.025,80,91
93,37.4,7.2,1.1,439,190,0.001,0.023,78,104
94,37.7,7.2,1.1,439,192,0.002,0.023,81,93
92,37.8,7.2,1.2,440,187,0.001,0.024,82,84
90,37.9,7.1,1.2,441,184,0.002,0.026,79,85
90,38,7.1,1.1,438,177,0.001,0.023,81,87
90,38.3,7,1.1,438,167,0.002,0.021,76,83
90,38.5,7,1.1,439,140,0.001,0.022,70,56
87,38.6,7.1,1.1,441,122,0.001,0.022,68,53
92,38.5,7.2,1.2,443,119,0.001,0.027,65,55
88,38.3,7.2,1.1,440,118,0.001,0.025,68,53
86,38.6,7.2,1.1,444,110,0.001,0.028,68,46
78,38.8,7.2,1.1,443,113,0.002,0.028,69,49
94,38.9,7.1,1.1,441,99,0.002,0.026,68,50
93,39,7,1,440,92,0.001,0.023,71,53
89,39.2,6.9,1,442,103,0.002,0.023,79,60
87,39.6,6.9,1.1,442,108,0.002,0.023,79,58
88,40,6.8,1.1,443,120,0.001,0.028,71,63
89,39.9,6.7,1,442,125,0.001,0.024,76,60
91,40,6.7,1,443,132,0.001,0.025,80,61
101,40.1,6.7,1,443,126,0.001,0.027,79,58
99,39.9,6.7,1,443,122,0.001,0.024,81,49
111,39.4,6.7,1,442,117,0.002,0.023,74,51
112,39.5,6.7,1,443,117,0.001,0.022,75,52
118,39.6,6.7,1,445,109,0.001,0.023,78,52
108,39.8,6.7,1,444,112,0.001,0.024,78,50
110,39.9,6.6,1,444,120,0.002,0.025,75,55
108,40.1,6.7,1,445,121,0.002,0.025,65,54
110,40,6.6,1,442,128,0.001,0.024,73,57
111,39.8,6.6,1,441,129,0.001,0.022,72,56
112,40.1,6.6,0.9,440,153,0.001,0.021,71,65
113,40.4,6.5,0.9,441,152,0.001,0.022,70,67
100,40.4,6.5,0.9,441,167,0.001,0.021,76,69
101,40.4,6.5,0.9,442,169,0.001,0.026,74,68
97,40.1,6.5,0.9,440,176,0.001,0.023,85,70
94,40.1,6.5,0.9,439,175,0.002,0.021,83,70
99,40.1,6.5,0.9,439,181,0.002,0.022,77,70
97,40.2,6.4,0.8,437,182,0.002,0.022,80,67
87,40.5,6.4,0.8,438,184,0.001,0.021,70,62
94,40.9,6.4,0.8,438,179,0.002,0.02,73,58
93,41.4,6.4,0.8,441,164,0.002,0.024,67,53
94,41.8,6.5,0.9,444,153,0.001,0.029,72,56
88,42.1,6.5,0.9,445,121,0.001,0.028,70,48
82,42.6,6.5,0.8,445,129,0.001,0.03,63,47
72,44,6.5,0.8,441,131,0.002,0.026,47,54
56,45.2,6.5,0.8,441,140,0.002,0.029,50,51
49,45.5,6.5,0.8,443,131,0.004,0.034,40,51
43,45.5,6.6,0.8,445,125,0.003,0.036,46,53
41,45.5,6.7,0.8,448,126,0.003,0.035,45,47
35,45.5,6.7,0.9,451,123,0.011,0.043,34,48
39,46.3,6.5,0.8,452,113,0.01,0.042,44,46
38,47,6.4,0.9,451,115,0.008,0.04,42,47
37,46.4,6.8,0.9,457,119,0.01,0.04,44,47
37,41.6,8.3,1,460,127,0.029,0.044,42,45
38,44.6,7.6,0.9,457,154,0.014,0.044,36,49
42,40.7,9.1,0.9,466,143,0.029,0.043,46,43
69,40.5,9.1,1,473,153,0.033,0.046,66,43
82,44.8,8,1,465,167,0.02,0.044,72,59
80,40.4,9,1,478,191,0.039,0.044,86,59
89,41.8,9.3,1.1,484,214,0.052,0.046,98,64
91,41.4,9.8,1.1,496,232,0.07,0.047,110,78
100,40.1,10.3,1.2,499,246,0.076,0.046,123,81
99,39.9,10.3,1.2,505,265,0.084,0.051,127,88
93,40.1,10.1,1.3,510,279,0.1,0.049,134,91
95,39.9,10,1.3,515,292,0.101,0.051,140,103
97,42.6,9.8,1.3,515,297,0.122,0.049,138,103
104,41.2,10.3,1.4,523,294,0.119,0.048,154,107
107,41.4,10.1,1.5,523,302,0.109,0.05,160,111
96,41.2,10.2,1.5,519,299,0.109,0.052,159,111
89,40.2,10.7,1.6,535,293,0.13,0.053,162,112
108,39.4,11.2,1.7,538,323,0.137,0.053,161,113
116,40.3,11.2,1.6,530,337,0.129,0.052,156,113
100,40.1,11.3,1.6,538,346,0.135,0.051,155,114
110,41.5,11.3,1.5,533,341,0.101,0.048,154,116
120,41.3,11.6,1.6,562,342,0.115,0.047,159,123
131,41.2,11.5,1.5,557,344,0.114,0.048,166,118
130,42.1,11.6,1.6,564,345,0.096,0.047,180,122
